,,,,Normalized abundance,,,,,,,,,,,,
AT2G34790.1,3,130.46,"| Symbols: MEE23, EDA28 | FAD-binding Berberine family protein | chr2:14673998-14677237 REVERSE LENGTH=532",881085,822063,960154,90127,87598,94484,56798,49348,58643,0.10,0.06,0.0025,0.0022
AT5G20890.1,1,18.38,| Symbols:  | TCP-1/cpn60 chaperonin family protein | chr5:7087020-7089906 REVERSE LENGTH=527,40977,31514,36159,4178,3482,3414,4285,3864,3164,0.10,0.10,0.0066,0.0064
AT4G08790.1,1,15.55,| Symbols:  | Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase family protein | chr4:5608489-5611118 REVERSE LENGTH=307,39075,27766,43564,2414,4755,4016,8719,6602,7382,0.10,0.21,0.0179,0.0233
AT4G26630.1,5,105.04,| Symbols:  | DEK domain-containing chromatin associated protein | chr4:13430873-13434877 REVERSE LENGTH=763,270948,221830,238314,22784,24895,26289,48305,49005,52246,0.10,0.20,0.0042,0.0052
AT3G17240.1,1,60.5,| Symbols: mtLPD2 | lipoamide dehydrogenase 2 | chr3:5890278-5892166 REVERSE LENGTH=507,91228,85148,102448,8913,9857,9120,10483,10348,11252,0.10,0.12,0.0036,0.0037
AT5G04140.1,14,860.06,"| Symbols: GLU1, GLS1, GLUS, FD-GOGAT | glutamate synthase 1 | chr5:1130031-1138186 FORWARD LENGTH=1622",11245976,11469753,10023261,1116895,1064447,1079970,1567941,1560998,1506949,0.10,0.14,0.0021,0.0023
AT2G21660.1;AT2G21660.2,5,248.59,"| Symbols: ATGRP7, CCR2, GR-RBP7, GRP7 | cold, circadian rhythm, and rna binding 2 | chr2:9265477-9266316 REVERSE LENGTH=176",1193279,1173432,1305325,119155,129430,116276,72625,63643,72062,0.10,0.06,0.0013,0.0012
AT1G45201.1,1,21.08,"| Symbols: ATTLL1, TLL1 | triacylglycerol lipase-like 1 | chr1:17123889-17128462 FORWARD LENGTH=479",366085,344852,406136,37495,33606,39399,14807,14131,18280,0.10,0.04,0.0027,0.0024
AT5G15350.1,1,33.8,"| Symbols: ENODL17, AtENODL17 | early nodulin-like protein 17 | chr5:4985184-4986154 REVERSE LENGTH=172",164478,142551,133541,14342,17425,11525,62135,50926,46315,0.10,0.36,0.0038,0.0029
AT1G68560.1,1,23.64,"| Symbols: ATXYL1, XYL1, TRG1 | alpha-xylosidase 1 | chr1:25734435-25737897 REVERSE LENGTH=915",234384,233430,264480,23331,22054,26533,35270,40554,37136,0.10,0.15,0.0018,0.0020
AT1G06950.1,1,17.51,"| Symbols: ATTIC110, TIC110 | translocon at the inner envelope membrane of chloroplasts 110 | chr1:2130303-2135563 REVERSE LENGTH=1016",48347,51424,46601,5106,3693,5570,6061,7949,6425,0.10,0.14,0.0002,0.0002
AT1G07140.1,1,69.19,| Symbols: SIRANBP | Pleckstrin homology (PH) domain superfamily protein | chr1:2192360-2193688 REVERSE LENGTH=228,388868,393045,269589,32199,31131,39748,18446,17701,18540,0.10,0.05,0.0157,0.0145
AT4G15545.1,1,18.23,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G16520.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses,28577,43818,57299,3358,4202,5103,18320,14597,18205,0.10,0.39,0.0419,0.0844
AT5G67360.1,3,72.34,| Symbols: ARA12 | Subtilase family protein | chr5:26872192-26874465 REVERSE LENGTH=757,1364021,1441711,1564047,129590,142452,139756,56710,65228,54483,0.09,0.04,0.0019,0.0017
AT4G26690.1,6,186.31,"| Symbols: SHV3, MRH5, GPDL2 | PLC-like phosphodiesterase family protein | chr4:13456793-13459890 REVERSE LENGTH=759",1351409,1456220,1399200,130965,133090,132130,231536,214341,219129,0.09,0.16,0.0006,0.0005
AT1G15280.1,1,42.08,| Symbols:  | CASC3/Barentsz eIF4AIII binding | chr1:5252538-5256214 FORWARD LENGTH=584,36730,29876,45055,4220,2324,3971,1725,3005,3096,0.09,0.07,0.0152,0.0150
AT1G72160.1,1,24.47,| Symbols:  | Sec14p-like phosphatidylinositol transfer family protein | chr1:27153823-27155609 REVERSE LENGTH=490,118026,120961,125984,11465,9315,13283,16410,14287,14584,0.09,0.12,0.0000,0.0002
AT2G17240.1,1,54.44,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match,104097,89786,64073,9498,8215,6198,31803,33827,32754,0.09,0.38,0.0212,0.0449
AT1G72150.1,3,136.3,| Symbols: PATL1 | PATELLIN 1 | chr1:27148558-27150652 FORWARD LENGTH=573,1033906,836215,947562,86161,83110,91499,91441,97397,100347,0.09,0.10,0.0044,0.0045
AT1G31860.1,1,15.8,"| Symbols: AT-IE, HISN2 | histidine biosynthesis bifunctional protein (HISIE) | chr1:11434250-11436530 REVERSE LENGTH=281",8503,8051,7199,399,1353,438,2182,2444,3331,0.09,0.33,0.0002,0.0005
AT3G47560.1,1,27.53,| Symbols:  | alpha/beta-Hydrolases superfamily protein | chr3:17525575-17526977 REVERSE LENGTH=265,197166,194870,189063,18592,16890,18060,24656,27942,24863,0.09,0.13,0.0001,0.0000
AT5G47930.1,1,20.43,| Symbols:  | Zinc-binding ribosomal protein family protein | chr5:19406423-19407329 REVERSE LENGTH=84,240324,343998,376734,32189,26450,29802,15999,16072,15718,0.09,0.05,0.0193,0.0178
AT1G56340.1;AT1G56340.2,4,164.75,"| Symbols: CRT1, CRT1a, AtCRT1a | calreticulin 1a | chr1:21090059-21092630 REVERSE LENGTH=425",1891091,2054412,1864958,177936,175345,180967,171121,180818,182369,0.09,0.09,0.0011,0.0011
AT5G38470.1,1,43.3,| Symbols: RAD23D | Rad23 UV excision repair protein family | chr5:15404720-15407500 FORWARD LENGTH=378,130570,97298,88722,9088,10018,9953,58002,47742,54956,0.09,0.51,0.0172,0.0487
AT2G41740.1,6,188.04,"| Symbols: VLN2, ATVLN2 | villin 2 | chr2:17410962-17416878 REVERSE LENGTH=976",1863020,2128543,2015312,171641,182877,193062,282696,292715,281873,0.09,0.14,0.0017,0.0020
AT5G54770.1,2,80.4,"| Symbols: THI1, TZ, THI4 | thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4) | chr5:22246634-22247891 FORWARD LENGTH=349",594120,550237,704343,54687,53790,59442,19335,21286,18165,0.09,0.03,0.0066,0.0058
AT2G35410.1,3,81.88,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr2:14898341-14899590 FORWARD LENGTH=308,1203958,1195451,1282251,109009,109587,114245,170093,170263,175719,0.09,0.14,0.0006,0.0007
AT5G08670.1,5,225.16,| Symbols:  | ATP synthase alpha/beta family protein | chr5:2818395-2821149 REVERSE LENGTH=556,1323363,1224461,1403885,114433,124851,117651,117168,115552,101472,0.09,0.08,0.0018,0.0017
AT4G21280.1;AT4G21280.2,2,87.56,"| Symbols: PSBQ, PSBQA, PSBQ-1 | photosystem II subunit QA | chr4:11334446-11335587 FORWARD LENGTH=223",652863,750613,784225,73131,63455,60938,234157,231489,209385,0.09,0.31,0.0033,0.0047
AT4G35830.1,1,35.86,| Symbols: ACO1 | aconitase 1 | chr4:16973007-16977949 REVERSE LENGTH=898,178795,198759,212993,16244,17981,19004,21002,22719,22137,0.09,0.11,0.0029,0.0031
ATCG00020.1,1,46.24,| Symbols: PSBA | photosystem II reaction center protein A | chrC:383-1444 REVERSE LENGTH=353,100240,96956,90803,10768,7702,7408,20228,27893,25407,0.09,0.26,0.0002,0.0000
AT4G35630.1,1,51.8,| Symbols: PSAT | phosphoserine aminotransferase | chr4:16904205-16905497 FORWARD LENGTH=430,122672,135882,129804,12517,11684,10683,29352,25466,29099,0.09,0.22,0.0009,0.0005
AT1G78300.1,3,364.18,"| Symbols: GRF2, 14-3-3OMEGA, GF14 OMEGA | general regulatory factor 2 | chr1:29461883-29463052 FORWARD LENGTH=259",2203537,2442546,2197291,204563,194055,210807,194340,182724,187287,0.09,0.08,0.0015,0.0015
AT5G36230.1,1,45.89,| Symbols:  | ARM repeat superfamily protein | chr5:14273519-14276773 FORWARD LENGTH=411,46701,64277,50282,5020,4133,5060,1575,2122,1570,0.09,0.03,0.0116,0.0104
AT3G18190.1,1,36.6,| Symbols:  | TCP-1/cpn60 chaperonin family protein | chr3:6232226-6233836 FORWARD LENGTH=536,45802,51635,66540,4555,5495,4116,5796,4972,6286,0.09,0.10,0.0146,0.0152
AT1G50480.1,1,81.79,| Symbols: THFS | 10-formyltetrahydrofolate synthetase | chr1:18702064-18704687 FORWARD LENGTH=634,360971,438652,351575,27232,35161,36352,35696,32735,35907,0.09,0.09,0.0057,0.0061
AT2G20450.1,1,15.06,| Symbols:  | Ribosomal protein L14 | chr2:8813923-8815071 FORWARD LENGTH=134,283429,279945,338310,25742,24505,26967,35491,31995,31805,0.09,0.11,0.0046,0.0048
AT1G35720.1,6,187.04,"| Symbols: ANNAT1, OXY5, ATOXY5 | annexin 1 | chr1:13225304-13226939 FORWARD LENGTH=317",5037962,4195123,4305154,406791,357351,383300,265691,277818,284910,0.08,0.06,0.0040,0.0039
AT4G02510.1,8,303.95,"| Symbols: TOC159, TOC86, PPI2, TOC160, ATTOC159 | translocon at the outer envelope membrane of chloroplasts 159 | chr4:1104766-1109360 FORWARD LENGTH=1503",892013,851348,918154,72040,82635,69184,94677,94970,105042,0.08,0.11,0.0003,0.0004
AT1G09210.1,2,138.88,"| Symbols: CRT1b, AtCRT1b | calreticulin 1b | chr1:2973217-2976655 REVERSE LENGTH=424",1190624,969560,910634,92124,77012,86899,87457,78350,85329,0.08,0.08,0.0080,0.0081
AT1G32940.1,2,57.67,"| Symbols: ATSBT3.5, SBT3.5 | Subtilase family protein | chr1:11937634-11940856 FORWARD LENGTH=774",28860,28499,29733,2273,2811,2174,31092,20944,18347,0.08,0.81,0.0000,0.2879
AT1G49240.1;AT2G37620.1;AT3G18780.1,4,225.8,| Symbols: ACT8 | actin 8 | chr1:18216539-18217947 FORWARD LENGTH=377,4427834,3338744,3309996,319427,283758,318562,205721,203262,204126,0.08,0.06,0.0115,0.0109
AT5G57330.1,2,104.46,| Symbols:  | Galactose mutarotase-like superfamily protein | chr5:23218392-23220664 FORWARD LENGTH=312,740375,911664,947466,72982,68987,69531,74288,79130,72378,0.08,0.09,0.0064,0.0064
AT3G23450.1,1,18.45,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 8 growth stages; Has 694543 Blast hits to 47111 p,255216,246456,255109,20168,19944,21441,20645,20578,22638,0.08,0.08,0.0001,0.0001
AT3G02080.1;AT5G15520.1,2,55.4,| Symbols:  | Ribosomal protein S19e family protein | chr3:364138-365161 REVERSE LENGTH=143,220498,233425,264715,20455,17468,20434,31379,30060,30025,0.08,0.13,0.0034,0.0039
AT3G28290.1,2,63.37,| Symbols: AT14A | Protein of unknown function (DUF677) | chr3:10547873-10549030 FORWARD LENGTH=385,203824,187263,190032,15755,14792,16498,10568,11089,9386,0.08,0.05,0.0007,0.0007
AT1G75950.1,1,67.33,"| Symbols: SKP1, ASK1, ATSKP1, SKP1A, UIP1 | S phase kinase-associated protein 1 | chr1:28516715-28517454 FORWARD LENGTH=160",357497,366162,463620,31585,29315,34599,45687,44121,48186,0.08,0.12,0.0085,0.0093
AT1G11490.1,1,15.23,| Symbols:  | zinc finger (C2H2 type) family protein | chr1:3868884-3870065 REVERSE LENGTH=365,72989,73792,76097,6562,5368,5789,4510,5990,5736,0.08,0.07,0.0000,0.0000
AT1G30510.1;AT4G05390.2,1,43.85,"| Symbols: ATRFNR2, RFNR2 | root FNR 2 | chr1:10807150-10808984 REVERSE LENGTH=381",181264,256333,251022,17509,18463,18490,19884,19073,18682,0.08,0.08,0.0128,0.0130
AT5G07440.1;AT5G07440.3,5,217.48,| Symbols: GDH2 | glutamate dehydrogenase 2 | chr5:2356153-2358012 FORWARD LENGTH=411,2755048,3391459,3358884,268190,240194,237892,682202,685380,666465,0.08,0.21,0.0049,0.0068
AT3G01390.1,2,104.59,"| Symbols: VMA10, AVMA10 | vacuolar membrane ATPase 10 | chr3:150265-150922 REVERSE LENGTH=110",154597,131463,164324,10030,13761,11466,7041,6854,7406,0.08,0.05,0.0045,0.0046
AT4G12730.1,4,354.2,| Symbols: FLA2 | FASCICLIN-like arabinogalactan 2 | chr4:7491598-7492809 REVERSE LENGTH=403,3291807,3391838,3033599,274957,257855,226464,631736,603893,608766,0.08,0.19,0.0011,0.0016
AT1G12240.1,5,193.97,"| Symbols: ATBETAFRUCT4, VAC-INV | Glycosyl hydrolases family 32 protein | chr1:4153699-4157457 FORWARD LENGTH=664",841608,744421,829518,67305,61747,58864,194378,177706,202210,0.08,0.24,0.0016,0.0016
AT1G14320.1,1,49.71,"| Symbols: SAC52, RPL10, RPL10A | Ribosomal protein L16p/L10e family protein | chr1:4888270-4889408 FORWARD LENGTH=220",265630,205222,170345,17081,16501,14553,25798,25008,22794,0.08,0.11,0.0192,0.0209
AT1G10630.1,1,30.65,"| Symbols: ATARFA1F, ARFA1F | ADP-ribosylation factor A1F | chr1:3513189-3514230 REVERSE LENGTH=181",358802,349000,504633,29531,30524,30056,35926,34654,38766,0.07,0.09,0.0176,0.0182
AT4G01150.1,1,18.61,"| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, plastoglobule, chloroplast envelope; EXPRESSED IN: 23 plant structu",581716,631014,711412,50131,42274,50105,34152,33189,26819,0.07,0.05,0.0039,0.0037
AT5G53460.1,2,54.39,| Symbols: GLT1 | NADH-dependent glutamate synthase 1 | chr5:21700518-21709629 FORWARD LENGTH=2208,121478,128483,134118,9210,9387,9675,11342,8824,9674,0.07,0.08,0.0009,0.0006
AT1G09780.1,1,26.86,"| Symbols:  | Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent | chr1:3165550-3167812 REVERSE LENGTH=557",33958,47264,45449,3320,2431,3456,4421,5715,5442,0.07,0.12,0.0108,0.0119
AT5G18170.1,1,16.49,| Symbols: GDH1 | glutamate dehydrogenase 1 | chr5:6006172-6008248 FORWARD LENGTH=411,176077,254897,244410,16852,15046,17126,19767,24513,19649,0.07,0.09,0.0137,0.0141
AT2G18110.1,1,65.16,| Symbols:  | Translation elongation  factor EF1B/ribosomal protein S6 family protein | chr2:7872636-7873713 FORWARD LENGTH=231,230980,251804,242723,17043,16770,18743,86691,79749,100107,0.07,0.37,0.0006,0.0001
AT1G21750.1;AT1G21750.2,8,382.52,"| Symbols: ATPDIL1-1, ATPDI5, PDI5, PDIL1-1 | PDI-like 1-1 | chr1:7645767-7648514 FORWARD LENGTH=501",2445214,3040129,3107528,207554,204796,208534,354954,370557,351527,0.07,0.13,0.0062,0.0069
AT1G20450.1,5,142.11,"| Symbols: LTI29, LTI45, ERD10 | Dehydrin family protein | chr1:7088235-7089107 REVERSE LENGTH=260",1315703,1136553,1164522,85971,86307,86829,119405,122469,124612,0.07,0.10,0.0025,0.0026
AT3G09820.1,2,89.26,"| Symbols: ADK1, ATADK1 | adenosine kinase 1 | chr3:3012122-3014624 FORWARD LENGTH=344",434943,376740,525026,32546,31874,30384,40946,41651,39769,0.07,0.09,0.0107,0.0112
AT5G23820.1,2,50.32,| Symbols:  | MD-2-related lipid recognition domain-containing protein | chr5:8031386-8032809 FORWARD LENGTH=164,4329980,4690952,4743424,310754,340141,317074,461123,426523,430849,0.07,0.10,0.0009,0.0009
AT2G44100.1,1,30.02,"| Symbols: ATGDI1, AT-GDI1, GDI1 | guanosine nucleotide diphosphate dissociation inhibitor 1 | chr2:18241804-18244864 FORWARD LENGTH=445",40473,38874,45820,2383,2775,3592,5387,6169,5658,0.07,0.14,0.0023,0.0031
AT1G78370.1,1,17.02,"| Symbols: ATGSTU20, GSTU20 | glutathione S-transferase TAU 20 | chr1:29484428-29485204 REVERSE LENGTH=217",379432,501083,444602,32385,32043,27382,33393,32766,34412,0.07,0.08,0.0071,0.0073
AT3G62410.1,2,152.66,"| Symbols: CP12-2, CP12 | CP12 domain-containing protein 2 | chr3:23091006-23091401 FORWARD LENGTH=131",4556536,5297738,4393830,321097,351083,313077,392932,359318,408753,0.07,0.08,0.0039,0.0040
AT5G06600.1,1,17.27,| Symbols: UBP12 | ubiquitin-specific protease 12 | chr5:2019545-2027834 REVERSE LENGTH=1116,79197,75163,77208,7039,3791,5105,5707,3355,5265,0.07,0.06,0.0000,0.0000
AT4G05180.1,1,58.21,"| Symbols: PSBQ, PSBQ-2, PSII-Q | photosystem II subunit Q-2 | chr4:2672093-2673170 REVERSE LENGTH=230",339847,335176,443268,24598,27103,25219,43294,39225,44707,0.07,0.11,0.0101,0.0111
AT3G54140.1,1,30.83,"| Symbols: ATPTR1, PTR1 | peptide transporter 1 | chr3:20045885-20048154 REVERSE LENGTH=570",62492,65027,53012,4051,5992,2262,4038,3002,3470,0.07,0.06,0.0023,0.0039
AT1G78900.1,8,242.73,| Symbols: VHA-A | vacuolar ATP synthase subunit A | chr1:29660463-29664575 FORWARD LENGTH=623,4918255,5477618,5986676,382434,356078,376430,294545,286780,301885,0.07,0.05,0.0036,0.0035
AT2G46820.1,1,26.99,"| Symbols: PTAC8, TMP14, PSAP, PSI-P | photosystem I P subunit | chr2:19243729-19244870 FORWARD LENGTH=174",44689,10342,21998,1713,1173,2342,5883,6864,6393,0.07,0.25,0.1408,0.1957
AT4G39730.1,2,106.8,"| Symbols:  | Lipase/lipooxygenase, PLAT/LH2 family protein | chr4:18432950-18433581 FORWARD LENGTH=181",926894,1164793,853355,67480,64705,65496,76682,71206,74779,0.07,0.08,0.0104,0.0105
AT1G60740.1,1,32.72,| Symbols:  | Thioredoxin superfamily protein | chr1:22361127-22361817 FORWARD LENGTH=162,28687,33200,30341,2210,2072,1695,15955,16522,13746,0.06,0.50,0.0019,0.0013
AT5G15200.1;AT5G39850.1,2,44.59,| Symbols:  | Ribosomal protein S4 | chr5:4935124-4936334 REVERSE LENGTH=198,740401,849634,929602,44078,66145,52148,45543,45117,44079,0.06,0.05,0.0044,0.0047
AT4G17170.1,1,49.95,"| Symbols: AT-RAB2, ATRABB1C, ATRAB2A, RAB2A, RABB1C, ATRAB-B1B, RAB-B1B | RAB GTPase homolog B1C | chr4:9644908-9646220 REVERSE LENGTH=211",281053,337835,328201,19404,20429,20730,22697,20749,23744,0.06,0.07,0.0035,0.0035
AT1G17100.1,3,97.17,| Symbols:  | SOUL heme-binding family protein | chr1:5844766-5845539 FORWARD LENGTH=232,1037442,1195637,1557711,86683,78470,73420,312734,295592,290048,0.06,0.24,0.0164,0.0244
AT3G08580.1;AT4G28390.1,3,91.77,| Symbols: AAC1 | ADP/ATP carrier 1 | chr3:2605706-2607030 REVERSE LENGTH=381,787003,624957,740270,48490,42538,42818,33019,32872,35870,0.06,0.05,0.0050,0.0049
AT4G11010.1,1,26.5,| Symbols: NDPK3 | nucleoside diphosphate kinase 3 | chr4:6732780-6734298 REVERSE LENGTH=238,72654,47446,64779,3215,4248,4031,9201,9227,9628,0.06,0.15,0.0161,0.0197
AT4G12420.1,2,46.08,| Symbols: SKU5 | Cupredoxin superfamily protein | chr4:7349941-7352868 REVERSE LENGTH=587,703496,671382,728814,43432,41574,45241,51954,48072,56457,0.06,0.07,0.0006,0.0005
AT2G43030.1,2,87.96,| Symbols:  | Ribosomal protein L3 family protein | chr2:17894898-17895713 FORWARD LENGTH=271,869093,759068,823477,48134,50821,48514,86513,89598,85939,0.06,0.11,0.0017,0.0019
AT3G14390.1,1,21.81,| Symbols:  | Pyridoxal-dependent decarboxylase family protein | chr3:4806771-4808954 FORWARD LENGTH=484,98243,122285,114020,7872,5661,6461,8383,7604,7336,0.06,0.07,0.0042,0.0045
AT2G22990.1,1,17.22,"| Symbols: SNG1, SCPL8 | sinapoylglucose 1 | chr2:9786393-9789925 FORWARD LENGTH=433",191349,179735,179498,11510,10099,10717,21037,25800,28515,0.06,0.14,0.0005,0.0000
ATCG00720.1,1,25.77,| Symbols: PETB | photosynthetic electron transfer B | chrC:74841-76292 FORWARD LENGTH=215,47035,32612,47976,3713,1553,2188,321,271,267,0.06,0.01,0.0139,0.0136
ATCG00680.1,1,16.72,| Symbols: PSBB | photosystem II reaction center protein B | chrC:72371-73897 FORWARD LENGTH=508,213901,120019,164068,11233,10374,7460,4102,4165,3871,0.06,0.02,0.0286,0.0269
AT1G35680.1,2,82.85,| Symbols:  | Ribosomal protein L21 | chr1:13208777-13210246 FORWARD LENGTH=220,1567331,1458429,1346144,83050,77545,89869,119164,127113,150392,0.06,0.09,0.0021,0.0019
AT4G12800.1,1,19.42,| Symbols: PSAL | photosystem I subunit l | chr4:7521469-7522493 FORWARD LENGTH=219,105098,53495,113485,5979,5284,3917,2787,3370,2572,0.06,0.03,0.0446,0.0427
AT3G55260.1,2,67.19,"| Symbols: HEXO1, ATHEX2 | beta-hexosaminidase 1 | chr3:20489317-20492858 FORWARD LENGTH=541",854055,917382,893624,46443,51563,50125,72593,75317,69574,0.06,0.08,0.0004,0.0005
AT1G29910.1;AT2G05070.1,2,44.31,"| Symbols: CAB3, AB180, LHCB1.2 | chlorophyll A/B binding protein 3 | chr1:10472443-10473246 REVERSE LENGTH=267",1248678,941731,1487734,72722,66452,62517,24348,26956,29518,0.05,0.02,0.0181,0.0169
AT4G29060.1,5,200.78,| Symbols: emb2726 | elongation factor Ts family protein | chr4:14317744-14321315 FORWARD LENGTH=953,6143829,5742457,6704388,331022,356301,325929,377510,373091,395970,0.05,0.06,0.0022,0.0023
AT4G00100.1,1,20.44,"| Symbols: ATRPS13A, RPS13, PFL2, RPS13A | ribosomal protein S13A | chr4:37172-38123 FORWARD LENGTH=151",103201,104936,93181,5703,4488,6051,3685,4263,4273,0.05,0.04,0.0013,0.0014
AT5G64570.1;AT5G09700.1,6,178.46,"| Symbols: XYL4, ATBXL4 | beta-D-xylosidase 4 | chr5:25810227-25813309 REVERSE LENGTH=784",4114915,3526450,3357392,203500,194050,193690,108100,101969,101963,0.05,0.03,0.0043,0.0041
AT5G63860.1,1,34.96,| Symbols: UVR8 | Regulator of chromosome condensation (RCC1) family protein | chr5:25554821-25558587 REVERSE LENGTH=440,356987,285322,338379,19727,15436,16942,21365,18466,19279,0.05,0.06,0.0047,0.0048
AT2G17420.1,1,19.82,"| Symbols: NTRA, ATNTRA, NTR2 | NADPH-dependent thioredoxin reductase A | chr2:7564357-7566219 FORWARD LENGTH=378",969638,891670,857425,47110,44274,51175,58475,60577,63630,0.05,0.07,0.0014,0.0015
AT2G47610.1,1,15.3,| Symbols:  | Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein | chr2:19529854-19531401 FORWARD LENGTH=257,79236,84069,90599,4620,3916,4714,4813,5067,5254,0.05,0.06,0.0016,0.0017
AT3G04010.1,1,17.54,| Symbols:  | O-Glycosyl hydrolases family 17 protein | chr3:1036879-1039263 REVERSE LENGTH=491,50201,33605,48170,2093,1727,3040,2797,3550,3243,0.05,0.07,0.0149,0.0159
AT5G20010.1,1,33.25,"| Symbols: RAN-1, RAN1, ATRAN1 | RAS-related nuclear protein-1 | chr5:6760364-6761747 FORWARD LENGTH=221",1467669,1537619,1803297,79737,79117,89086,86412,89793,88093,0.05,0.05,0.0045,0.0045
AT3G29320.1,2,43.39,"| Symbols:  | Glycosyl transferase, family 35 | chr3:11252871-11257587 FORWARD LENGTH=962",282001,253097,276448,15253,15146,11238,72721,57975,68333,0.05,0.25,0.0010,0.0003
AT2G01250.1;AT2G01250.2,2,48.7,| Symbols:  | Ribosomal protein L30/L7 family protein | chr2:132943-134264 REVERSE LENGTH=242,696041,685669,921290,36173,40064,38706,39549,41789,42744,0.05,0.05,0.0109,0.0110
AT4G24190.1,2,86,"| Symbols: SHD, HSP90.7, AtHsp90.7, AtHsp90-7 | Chaperone protein htpG family protein | chr4:12551902-12555851 REVERSE LENGTH=823",704888,946839,878325,44664,44565,36413,78209,66220,78472,0.05,0.09,0.0079,0.0085
AT1G65960.1,2,94.5,| Symbols: GAD2 | glutamate decarboxylase 2 | chr1:24555868-24557253 FORWARD LENGTH=365,2094818,2050302,2270875,95268,98933,111601,93211,92850,89546,0.05,0.04,0.0010,0.0011
AT5G46020.1,1,48.25,"| Symbols:  | CONTAINS InterPro DOMAIN/s: Casein kinase substrate, phosphoprotein PP28 (InterPro:IPR019380); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses -",203389,178003,182122,10329,7994,8381,10754,12065,13285,0.05,0.06,0.0018,0.0018
AT1G76180.1,6,347.91,| Symbols: ERD14 | Dehydrin family protein | chr1:28587013-28587657 REVERSE LENGTH=185,11562936,16620928,15739479,667130,702954,704694,540219,535981,577151,0.05,0.04,0.0123,0.0120
AT1G09640.1;AT1G09640.2,2,213.92,"| Symbols:  | Translation elongation factor EF1B, gamma chain | chr1:3120162-3122152 FORWARD LENGTH=414",637064,605452,605613,27619,26365,31151,26178,27764,26783,0.05,0.04,0.0003,0.0003
AT3G54640.1,1,16.28,"| Symbols: TSA1, TRP3 | tryptophan synthase alpha chain | chr3:20223331-20225303 REVERSE LENGTH=312",3344561,4282650,6435520,181802,221937,241391,197052,153643,180742,0.05,0.04,0.0394,0.0387
AT2G42740.1,1,43.56,| Symbols: RPL16A | ribosomal protein large subunit 16A | chr2:17791794-17792946 FORWARD LENGTH=182,716963,607061,780095,34024,28614,33738,35198,36494,34979,0.05,0.05,0.0056,0.0057
AT4G24820.1,1,21.61,"| Symbols:  | 26S proteasome, regulatory subunit Rpn7;Proteasome component (PCI) domain | chr4:12790471-12792599 REVERSE LENGTH=387",98332,104434,98118,4911,6345,2414,11232,10579,5682,0.05,0.09,0.0000,0.0000
AT3G01910.1;AT3G01910.2,2,37.76,"| Symbols: SOX, AT-SO, AtSO | sulfite oxidase | chr3:314919-317274 REVERSE LENGTH=393",237738,222607,219374,9989,9212,11287,30962,32145,29181,0.04,0.14,0.0006,0.0007
AT3G25860.1,1,27.68,"| Symbols: LTA2, PLE2 | 2-oxoacid dehydrogenases acyltransferase family protein | chr3:9460632-9462585 FORWARD LENGTH=480",382820,464735,462242,18511,22547,16254,14333,14506,11541,0.04,0.03,0.0040,0.0040
AT4G13360.1,2,56.47,| Symbols:  | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | chr4:7775133-7777701 FORWARD LENGTH=421,369137,377709,408336,14618,16569,18292,17298,17953,19528,0.04,0.05,0.0010,0.0010
AT5G52310.1,7,190.33,"| Symbols: COR78, LTI78, RD29A, LTI140 | low-temperature-responsive protein 78 (LTI78) / desiccation-responsive protein 29A (RD29A) | chr5:21240929-21243326 FORWARD LENGTH=710",2393102,2207074,2187003,88422,106657,94231,114357,103260,113828,0.04,0.05,0.0009,0.0009
AT3G63240.1,1,16.86,| Symbols:  | DNAse I-like superfamily protein | chr3:23364411-23366876 REVERSE LENGTH=547,189074,207822,201364,7298,7574,10248,4379,7471,6200,0.04,0.03,0.0006,0.0006
AT2G38750.1,1,46.92,| Symbols: ANNAT4 | annexin 4 | chr2:16196582-16198431 REVERSE LENGTH=319,330961,347849,339368,13379,13711,14966,18243,15041,11272,0.04,0.04,0.0002,0.0000
